"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,04;0,11;18787,02;0,35;0,725;-0,18;0,25
"age";0;0;26421,71;-1,65;0,099;0;0
"gender";0,09;0,02;26754,01;5,82;0;0,06;0,12
"educ";0,03;0;26825,81;12,34;0;0,02;0,03
"resid";-0,11;0,02;26844,75;-7,18;0;-0,14;-0,08
"occupClerical support workers";-0,03;0,11;26723,85;-0,25;0,803;-0,24;0,19
"occupCraft and related trades workers";-0,13;0,11;26728,58;-1,2;0,231;-0,34;0,08
"occupElementary occupations";0,01;0,11;26732,79;0,09;0,93;-0,2;0,22
"occupManagers";0,05;0,11;26724,75;0,45;0,654;-0,16;0,26
"occupOther: Not in paid work";0,18;0,11;26829,27;1,61;0,107;-0,04;0,4
"occupPlant and machine operators, and assemblers";-0,07;0,11;26730,45;-0,67;0,502;-0,29;0,14
"occupProfessionals";0,17;0,11;26721,52;1,57;0,116;-0,04;0,38
"occupRetired";0,05;0,12;26729,05;0,43;0,67;-0,19;0,29
"occupService and sales workers";-0,06;0,11;26724,33;-0,6;0,549;-0,28;0,15
"occupSkilled agricultural, forestry and fishery workers";-0,02;0,12;26727,42;-0,13;0,894;-0,24;0,21
"occupTechnicians and associate professionals";-0,01;0,11;26720,11;-0,11;0,912;-0,22;0,2
"occupUnemployed";0,02;0,13;26749,23;0,12;0,906;-0,25;0,28
"environ.lvl1";0,26;0,01;26661,62;26,24;0;0,24;0,28
