"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";-0,01;0,07;24922,59;-0,13;0,894;-0,14;0,12
"age";0;0;22321;-6,87;0;0;0
"gender";0,05;0,01;26838,2;4,84;0;0,03;0,06
"educ";0,02;0;25203,66;15,41;0;0,02;0,03
"resid";-0,05;0,01;26831,48;-5,11;0;-0,07;-0,03
"occupClerical support workers";0,04;0,07;26800,75;0,61;0,539;-0,09;0,17
"occupCraft and related trades workers";-0,03;0,07;26807,69;-0,47;0,64;-0,16;0,1
"occupElementary occupations";-0,05;0,07;26817,3;-0,68;0,497;-0,18;0,09
"occupManagers";0,08;0,07;26800,42;1,14;0,256;-0,06;0,21
"occupOther: Not in paid work";0;0,07;26881,47;0,06;0,949;-0,13;0,14
"occupPlant and machine operators, and assemblers";0,01;0,07;26813,57;0,19;0,849;-0,12;0,15
"occupProfessionals";0,1;0,07;26794,04;1,45;0,146;-0,03;0,23
"occupRetired";-0,09;0,08;26803,99;-1,16;0,247;-0,24;0,06
"occupService and sales workers";-0,01;0,07;26799,57;-0,13;0,895;-0,14;0,12
"occupSkilled agricultural, forestry and fishery workers";-0,01;0,07;26801,96;-0,15;0,882;-0,15;0,13
"occupTechnicians and associate professionals";0,07;0,07;26794,67;1,08;0,279;-0,06;0,2
"occupUnemployed";-0,12;0,08;26820,32;-1,4;0,16;-0,28;0,05
