"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0;0,07;24676,53;-0,07;0,948;-0,13;0,13
"age";0;0;22838,64;-6,58;0;0;0
"gender";0,04;0,01;26831,22;3,86;0;0,02;0,05
"educ";0,02;0;25427,43;13,26;0;0,02;0,02
"resid";-0,04;0,01;26850,28;-3,95;0;-0,06;-0,02
"occupClerical support workers";0,04;0,07;26792,99;0,64;0,521;-0,09;0,17
"occupCraft and related trades workers";-0,02;0,07;26799,9;-0,28;0,778;-0,15;0,11
"occupElementary occupations";-0,05;0,07;26809,2;-0,68;0,497;-0,18;0,09
"occupManagers";0,07;0,07;26792,72;1,05;0,295;-0,06;0,2
"occupOther: Not in paid work";-0,01;0,07;26884,56;-0,16;0,87;-0,15;0,12
"occupPlant and machine operators, and assemblers";0,02;0,07;26805,54;0,29;0,773;-0,11;0,15
"occupProfessionals";0,08;0,07;26786,5;1,19;0,234;-0,05;0,21
"occupRetired";-0,09;0,08;26796,49;-1,21;0,226;-0,24;0,06
"occupService and sales workers";0;0,07;26791,98;-0,04;0,972;-0,13;0,13
"occupSkilled agricultural, forestry and fishery workers";-0,01;0,07;26794,35;-0,13;0,897;-0,15;0,13
"occupTechnicians and associate professionals";0,07;0,07;26786,97;1,08;0,278;-0,06;0,2
"occupUnemployed";-0,11;0,08;26813,28;-1,39;0,165;-0,28;0,05
"refugees.lvl1";0,1;0;26679,13;26,13;0;0,09;0,1
