"";"group";"emmean";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,74;0,06;0;0;-0,86;-0,62
"2";"Did not vote";-0,11;0,07;0,0996;0,3985;-0,24;0,02
"3";"Don't know";-0,16;0,08;0,0405;0,2023;-0,31;-0,01
"4";"Invalid vote";0,03;0,49;0,95;1;-0,93;0,99
"5";"NE age";0,28;0,08;3e-04;0,0021;0,13;0,44
"6";"NE citizen";0,41;0,08;0;0;0,25;0,57
"7";"NE other";0,28;0,12;0,0187;0,1125;0,05;0,52
"8";"No answer";0,26;0,49;0,592;1;-0,7;1,22
"9";"Other party";0,05;0,03;0,1231;0,3985;-0,01;0,11
"10";"Pro-environment party";0,55;0,06;0;0;0,42;0,67
