"";"group";"emmean";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,5;0,15;7e-04;0,0065;-0,79;-0,21
"2";"Did not vote";-0,04;0,15;0,7682;1;-0,34;0,25
"3";"Don't know";-0,08;0,15;0,6042;1;-0,37;0,22
"4";"Invalid vote";0,01;0,37;0,978;1;-0,72;0,74
"5";"NE age";0,23;0,15;0,1327;0,7965;-0,07;0,52
"6";"NE citizen";0,31;0,15;0,039;0,3123;0,02;0,61
"7";"NE other";0,32;0,17;0,0563;0,3939;-0,01;0,65
"8";"No answer";0,18;0,37;0,6273;1;-0,55;0,91
"9";"Other party";0,06;0,14;0,6646;1;-0,22;0,34
"10";"Pro-environment party";0,43;0,15;0,004;0,0358;0,14;0,71
