"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,05;0,11;37,52;0,45;0,653;-0,18;0,28
"age";0;0;22070,85;-5,9;0;0;0
"gender";0,03;0,01;24926,24;3,33;0,001;0,01;0,05
"educ";0,02;0;24865,82;12,94;0;0,02;0,02
"resid";-0,03;0,01;24981,31;-3,32;0,001;-0,05;-0,01
"occupClerical support workers";0,02;0,07;24879,93;0,22;0,829;-0,12;0,16
"occupCraft and related trades workers";-0,05;0,07;24886,13;-0,72;0,471;-0,19;0,09
"occupElementary occupations";-0,07;0,07;24887,7;-0,93;0,353;-0,21;0,07
"occupManagers";0,05;0,07;24880,16;0,69;0,488;-0,09;0,19
"occupOther: Not in paid work";-0,03;0,07;24987,46;-0,42;0,678;-0,17;0,11
"occupPlant and machine operators, and assemblers";-0,01;0,07;24889,81;-0,12;0,905;-0,15;0,13
"occupProfessionals";0,06;0,07;24881,72;0,86;0,388;-0,08;0,2
"occupRetired";-0,12;0,08;24882,04;-1,54;0,125;-0,28;0,03
"occupService and sales workers";-0,03;0,07;24881,43;-0,38;0,705;-0,16;0,11
"occupSkilled agricultural, forestry and fishery workers";-0,04;0,08;24886,71;-0,59;0,557;-0,19;0,1
"occupTechnicians and associate professionals";0,05;0,07;24876,68;0,75;0,453;-0,09;0,19
"occupUnemployed";-0,12;0,09;24890,24;-1,36;0,173;-0,29;0,05
"refugees.lvl1";0,14;0,01;24803,57;23,96;0;0,13;0,15
