"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,05;0,11;38,05;0,42;0,676;-0,18;0,28
"age";0;0;21667,53;-6,18;0;0;0
"gender";0,04;0,01;24931,54;4,19;0;0,02;0,06
"educ";0,02;0;24833,9;14,7;0;0,02;0,03
"resid";-0,04;0,01;24985,71;-4,33;0;-0,06;-0,02
"occupClerical support workers";0,01;0,07;24884,73;0,18;0,856;-0,13;0,15
"occupCraft and related trades workers";-0,06;0,07;24891,04;-0,9;0,368;-0,21;0,08
"occupElementary occupations";-0,07;0,07;24892,83;-0,92;0,359;-0,21;0,08
"occupManagers";0,06;0,07;24884,87;0,78;0,436;-0,09;0,2
"occupOther: Not in paid work";-0,02;0,07;24989,36;-0,22;0,829;-0,16;0,13
"occupPlant and machine operators, and assemblers";-0,02;0,07;24895,01;-0,21;0,831;-0,16;0,13
"occupProfessionals";0,08;0,07;24886,54;1,11;0,269;-0,06;0,22
"occupRetired";-0,12;0,08;24886,72;-1,51;0,131;-0,28;0,04
"occupService and sales workers";-0,04;0,07;24886,18;-0,49;0,622;-0,17;0,1
"occupSkilled agricultural, forestry and fishery workers";-0,05;0,08;24891,6;-0,59;0,553;-0,2;0,11
"occupTechnicians and associate professionals";0,05;0,07;24881,47;0,75;0,455;-0,09;0,19
"occupUnemployed";-0,12;0,09;24894,49;-1,38;0,169;-0,29;0,05
