"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,06;0,16;24,27;0,38;0,708;-0,27;0,4
"age";0;0;24721,71;-1,79;0,074;0;0
"gender";0,06;0,01;24865,24;5,33;0;0,04;0,08
"educ";0,02;0;24987,26;10,46;0;0,01;0,02
"resid";-0,07;0,01;24897,56;-6,62;0;-0,09;-0,05
"occupClerical support workers";-0,02;0,08;24836,16;-0,26;0,794;-0,17;0,13
"occupCraft and related trades workers";-0,09;0,08;24840,21;-1,18;0,239;-0,24;0,06
"occupElementary occupations";0,01;0,08;24840;0,17;0,861;-0,14;0,17
"occupManagers";0,04;0,08;24837,23;0,49;0,623;-0,11;0,19
"occupOther: Not in paid work";0,12;0,08;24920,56;1,5;0,133;-0,04;0,28
"occupPlant and machine operators, and assemblers";-0,05;0,08;24840,67;-0,65;0,517;-0,2;0,1
"occupProfessionals";0,12;0,08;24837,36;1,54;0,123;-0,03;0,27
"occupRetired";0,03;0,09;24838,41;0,31;0,753;-0,14;0,2
"occupService and sales workers";-0,06;0,08;24837,6;-0,72;0,469;-0,21;0,09
"occupSkilled agricultural, forestry and fishery workers";0;0,08;24841,91;-0,02;0,986;-0,16;0,16
"occupTechnicians and associate professionals";-0,01;0,08;24833,87;-0,09;0,932;-0,16;0,14
"occupUnemployed";0,01;0,09;24851,78;0,08;0,933;-0,18;0,19
"environ.lvl1";0,16;0,01;24793,19;24,07;0;0,15;0,18
