"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,07;0,16;24,16;0,4;0,689;-0,27;0,4
"age";0;0;24472,93;-1,74;0,082;0;0
"gender";0,06;0,01;24848,33;5,24;0;0,04;0,08
"educ";0,02;0;24981,72;10,46;0;0,01;0,02
"resid";-0,07;0,01;24880,41;-6,71;0;-0,09;-0,05
"occupClerical support workers";-0,02;0,08;24806,23;-0,29;0,771;-0,17;0,13
"occupCraft and related trades workers";-0,09;0,08;24814,17;-1,22;0,221;-0,24;0,06
"occupElementary occupations";0,01;0,08;24811,5;0,14;0,889;-0,14;0,16
"occupManagers";0,03;0,08;24812,38;0,42;0,673;-0,12;0,18
"occupOther: Not in paid work";0,12;0,08;24892,44;1,46;0,145;-0,04;0,27
"occupPlant and machine operators, and assemblers";-0,05;0,08;24815,43;-0,7;0,482;-0,21;0,1
"occupProfessionals";0,11;0,08;24811,25;1,48;0,139;-0,04;0,26
"occupRetired";0,02;0,09;24809,13;0,27;0,788;-0,15;0,2
"occupService and sales workers";-0,06;0,08;24810,57;-0,74;0,46;-0,21;0,09
"occupSkilled agricultural, forestry and fishery workers";-0,01;0,08;24815,14;-0,1;0,918;-0,17;0,15
"occupTechnicians and associate professionals";-0,01;0,08;24806,13;-0,12;0,904;-0,16;0,14
"occupUnemployed";0;0,09;24824,02;0;0,999;-0,18;0,18
"environ.lvl1";0,17;0,03;14,55;6,78;0;0,12;0,23
