"";"Eff";"Est";"SE";"df";"t";"p";"LL";"UL"
"1";"(Intercept)";"0.08";"0.14";"49.47";"0.53";"0.598";"-0.21";"0.36"
"2";"age";"0.00";"0.00";"34211.38";"4.49";"0.000";"0.00";"0.00"
"3";"gender";"0.06";"0.01";"35569.60";"4.70";"0.000";"0.03";"0.08"
"4";"educ";"0.01";"0.00";"35698.92";"7.49";"0.000";"0.01";"0.02"
"5";"resid";"-0.06";"0.01";"35634.38";"-5.24";"0.000";"-0.08";"-0.04"
"6";"occupClerical support workers";"-0.04";"0.09";"35508.21";"-0.48";"0.632";"-0.22";"0.13"
"7";"occupCraft and related trades workers";"-0.07";"0.09";"35518.38";"-0.77";"0.439";"-0.24";"0.10"
"8";"occupElementary occupations";"0.01";"0.09";"35520.28";"0.13";"0.900";"-0.16";"0.18"
"9";"occupManagers";"-0.02";"0.09";"35507.43";"-0.22";"0.827";"-0.19";"0.15"
"10";"occupOther: Not in paid work";"0.14";"0.09";"35674.75";"1.52";"0.127";"-0.04";"0.32"
"11";"occupPlant and machine operators, and assemblers";"-0.07";"0.09";"35516.07";"-0.74";"0.460";"-0.24";"0.11"
"12";"occupProfessionals";"0.07";"0.09";"35512.07";"0.79";"0.432";"-0.10";"0.24"
"13";"occupRetired";"-0.04";"0.10";"35508.44";"-0.36";"0.716";"-0.23";"0.16"
"14";"occupService and sales workers";"-0.04";"0.09";"35513.92";"-0.44";"0.657";"-0.21";"0.13"
"15";"occupSkilled agricultural, forestry and fishery workers";"-0.06";"0.09";"35523.04";"-0.63";"0.529";"-0.24";"0.12"
"16";"occupTechnicians and associate professionals";"-0.03";"0.09";"35508.10";"-0.38";"0.705";"-0.20";"0.14"
"17";"occupUnemployed";"-0.03";"0.11";"35525.32";"-0.24";"0.812";"-0.24";"0.18"
"18";"environ.lvl1";"0.12";"0.01";"19.40";"11.53";"0.000";"0.10";"0.15"
