"";"Eff";"Est";"SE";"df";"t";"p";"LL";"UL"
"1";"(Intercept)";"-0.04";"0.12";"181.41";"-0.33";"0.740";"-0.27";"0.19"
"2";"age";"-0.00";"0.00";"30229.24";"-8.64";"0.000";"-0.00";"-0.00"
"3";"gender";"0.01";"0.01";"35647.27";"0.51";"0.613";"-0.02";"0.03"
"4";"educ";"0.03";"0.00";"35243.03";"12.16";"0.000";"0.02";"0.03"
"5";"resid";"-0.12";"0.01";"35688.34";"-9.42";"0.000";"-0.15";"-0.10"
"6";"occupClerical support workers";"0.05";"0.10";"35558.96";"0.52";"0.604";"-0.14";"0.25"
"7";"occupCraft and related trades workers";"-0.04";"0.10";"35566.00";"-0.45";"0.652";"-0.24";"0.15"
"8";"occupElementary occupations";"-0.01";"0.10";"35571.70";"-0.10";"0.921";"-0.20";"0.19"
"9";"occupManagers";"0.14";"0.10";"35560.44";"1.37";"0.170";"-0.06";"0.33"
"10";"occupOther: Not in paid work";"0.14";"0.10";"35708.21";"1.40";"0.163";"-0.06";"0.34"
"11";"occupPlant and machine operators, and assemblers";"-0.03";"0.10";"35566.12";"-0.27";"0.788";"-0.22";"0.17"
"12";"occupProfessionals";"0.19";"0.10";"35558.85";"1.99";"0.047";"0.00";"0.39"
"13";"occupRetired";"0.06";"0.11";"35554.14";"0.58";"0.560";"-0.15";"0.28"
"14";"occupService and sales workers";"0.03";"0.10";"35560.22";"0.34";"0.735";"-0.16";"0.23"
"15";"occupSkilled agricultural, forestry and fishery workers";"0.05";"0.10";"35572.65";"0.50";"0.615";"-0.15";"0.26"
"16";"occupTechnicians and associate professionals";"0.07";"0.10";"35559.38";"0.69";"0.489";"-0.12";"0.26"
"17";"occupUnemployed";"-0.02";"0.12";"35571.95";"-0.19";"0.848";"-0.26";"0.21"
"18";"refugees.lvl1";"0.16";"0.01";"18.18";"13.89";"0.000";"0.13";"0.18"
