"";"group";"emmean";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,43;0,08;0;0;-0,59;-0,26
"2";"Did not vote";-0,06;0,09;0,4683;1;-0,23;0,11
"3";"Don't know";-0,09;0,09;0,2895;1;-0,27;0,08
"4";"Invalid vote";-0,13;0,27;0,6402;1;-0,66;0,4
"5";"NE age";0,14;0,09;0,1033;0,7232;-0,03;0,32
"6";"NE citizen";0,26;0,09;0,0044;0,0356;0,08;0,44
"7";"NE other";0,12;0,1;0,232;1;-0,08;0,32
"8";"No answer";-0,16;0,29;0,5862;1;-0,72;0,41
"9";"Other party";0,04;0,08;0,65;1;-0,12;0,19
"10";"Pro-environment party";0,34;0,09;1e-04;5e-04;0,18;0,51
