"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,02;0,07;285,22;0,22;0,825;-0,13;0,16
"age";0;0;30671,87;-7,05;0;0;0
"gender";0,04;0,01;36797,79;4,44;0;0,02;0,06
"educ";0,02;0;36443,92;13,63;0;0,02;0,02
"resid";-0,05;0,01;36871,11;-6,28;0;-0,07;-0,04
"occupClerical support workers";0,04;0,07;36715,79;0,55;0,585;-0,09;0,17
"occupCraft and related trades workers";-0,03;0,07;36725,51;-0,52;0,602;-0,16;0,09
"occupElementary occupations";-0,05;0,07;36729,24;-0,83;0,406;-0,18;0,07
"occupManagers";0,05;0,07;36717,82;0,81;0,42;-0,08;0,18
"occupOther: Not in paid work";-0,01;0,07;36860,02;-0,15;0,884;-0,14;0,12
"occupPlant and machine operators, and assemblers";-0,03;0,07;36727,08;-0,5;0,62;-0,16;0,1
"occupProfessionals";0,08;0,07;36718,98;1,25;0,209;-0,05;0,21
"occupRetired";-0,11;0,07;36722,51;-1,55;0,121;-0,26;0,03
"occupService and sales workers";-0,01;0,07;36717,37;-0,17;0,867;-0,14;0,12
"occupSkilled agricultural, forestry and fishery workers";0,01;0,07;36733;0,11;0,915;-0,13;0,14
"occupTechnicians and associate professionals";0,05;0,07;36713,7;0,77;0,44;-0,08;0,18
"occupUnemployed";-0,15;0,08;36725,64;-1,84;0,066;-0,3;0,01
"refugees.lvl1";0,15;0,01;36610,66;29,03;0;0,14;0,16
