"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,02;0,1;49,53;0,19;0,852;-0,19;0,23
"age";0;0;35762,51;-3,19;0,001;0;0
"gender";0,06;0,01;36686,67;7,36;0;0,05;0,08
"educ";0,02;0;36862,77;13,18;0;0,02;0,02
"resid";-0,05;0,01;36736,08;-5,81;0;-0,07;-0,03
"occupClerical support workers";-0,01;0,06;36604,39;-0,22;0,825;-0,14;0,11
"occupCraft and related trades workers";-0,05;0,06;36617,42;-0,79;0,431;-0,18;0,07
"occupElementary occupations";0,02;0,06;36615,56;0,33;0,739;-0,1;0,15
"occupManagers";0,04;0,06;36610,76;0,67;0,502;-0,08;0,17
"occupOther: Not in paid work";0,13;0,07;36752,58;1,97;0,048;0;0,26
"occupPlant and machine operators, and assemblers";-0,02;0,06;36616,53;-0,34;0,737;-0,15;0,1
"occupProfessionals";0,11;0,06;36613,6;1,67;0,096;-0,02;0,23
"occupRetired";0,03;0,07;36616,24;0,43;0,666;-0,11;0,17
"occupService and sales workers";-0,02;0,06;36610,26;-0,24;0,808;-0,14;0,11
"occupSkilled agricultural, forestry and fishery workers";-0,03;0,07;36620,36;-0,41;0,68;-0,16;0,1
"occupTechnicians and associate professionals";0,02;0,06;36605,61;0,26;0,793;-0,11;0,14
"occupUnemployed";-0,08;0,08;36619,16;-1,07;0,285;-0,23;0,07
"environ.lvl1";0,15;0,02;19,92;10,03;0;0,12;0,18
