"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,01;0,08;291,25;0,13;0,895;-0,14;0,16
"age";0;0;29940,74;-7,55;0;0;0
"gender";0,05;0,01;36805,07;5,62;0;0,03;0,07
"educ";0,02;0;36362,19;15,82;0;0,02;0,02
"resid";-0,06;0,01;36874,11;-7,18;0;-0,08;-0,05
"occupClerical support workers";0,04;0,07;36722,23;0,53;0,599;-0,1;0,17
"occupCraft and related trades workers";-0,04;0,07;36732,27;-0,63;0,526;-0,17;0,09
"occupElementary occupations";-0,05;0,07;36736,18;-0,79;0,431;-0,18;0,08
"occupManagers";0,06;0,07;36724,35;0,93;0,353;-0,07;0,19
"occupOther: Not in paid work";0,01;0,07;36855,64;0,13;0,896;-0,13;0,14
"occupPlant and machine operators, and assemblers";-0,04;0,07;36733,98;-0,54;0,592;-0,17;0,1
"occupProfessionals";0,1;0,07;36725,51;1,52;0,127;-0,03;0,23
"occupRetired";-0,11;0,07;36728,84;-1,5;0,134;-0,25;0,03
"occupService and sales workers";-0,01;0,07;36723,79;-0,2;0,839;-0,14;0,12
"occupSkilled agricultural, forestry and fishery workers";0;0,07;36740,01;0,06;0,952;-0,13;0,14
"occupTechnicians and associate professionals";0,05;0,07;36720,21;0,83;0,409;-0,07;0,18
"occupUnemployed";-0,16;0,08;36731,58;-2,02;0,043;-0,32;0
