"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,01;0,1;49,75;0,14;0,889;-0,19;0,22
"age";0;0;36006,74;-3,24;0,001;0;0
"gender";0,06;0,01;36708,56;7,5;0;0,05;0,08
"educ";0,02;0;36867,54;13,29;0;0,02;0,02
"resid";-0,05;0,01;36761,15;-5,73;0;-0,07;-0,03
"occupClerical support workers";-0,01;0,06;36649,62;-0,17;0,865;-0,14;0,12
"occupCraft and related trades workers";-0,05;0,06;36655,1;-0,71;0,476;-0,17;0,08
"occupElementary occupations";0,03;0,06;36656,44;0,41;0,683;-0,1;0,15
"occupManagers";0,05;0,06;36650,52;0,77;0,444;-0,08;0,18
"occupOther: Not in paid work";0,13;0,07;36794,59;2,03;0,042;0;0,26
"occupPlant and machine operators, and assemblers";-0,01;0,06;36655,17;-0,22;0,823;-0,14;0,11
"occupProfessionals";0,11;0,06;36651,3;1,74;0,081;-0,01;0,24
"occupRetired";0,04;0,07;36656,02;0,52;0,6;-0,1;0,18
"occupService and sales workers";-0,01;0,06;36651,26;-0,2;0,843;-0,14;0,11
"occupSkilled agricultural, forestry and fishery workers";-0,02;0,07;36659,89;-0,33;0,741;-0,15;0,11
"occupTechnicians and associate professionals";0,02;0,06;36647,66;0,32;0,747;-0,1;0,15
"occupUnemployed";-0,08;0,08;36665,95;-0,98;0,328;-0,23;0,08
"environ.lvl1";0,15;0,01;36591,72;29,09;0;0,14;0,16
